subid,Gender,ExactAge,AgeGroup
500,0,20.66575342,1
501,1,21.43561644,1
502,0,24.99178082,1
503,1,24.59178082,1
504,0,22.50410959,1
508,1,20.37260274,1
509,0,18.6630137,1
511,1,21.58356164,1
513,0,8.265753425,3
515,0,20.70958904,1
517,1,19.98082192,1
518,1,20.1260274,1
519,1,19.27945205,1
521,0,16.10136986,2
523,0,9.953424658,3
524,0,12.54520548,3
528,0,11.10684932,3
530,0,16.08493151,2
531,0,15.66575342,2
532,1,25.95068493,1
536,0,16.13150685,2
537,0,15.72876712,2
540,0,17.01369863,2
541,1,17.51780822,2
542,0,13.5890411,2
545,1,15.76164384,2
548,0,9.978082192,3
549,1,11.32328767,3
550,1,14.03835616,2
552,1,16.5260274,2
557,1,15.85479452,2
558,1,17.74794521,2
559,1,16.56164384,2
560,1,16.03561644,2
561,1,11.52328767,3
562,0,12.29315068,3
563,0,22.19178082,1
566,1,13.77260274,2
570,0,18.84657534,1
573,0,11.06849315,3
574,0,11.53150685,3
576,1,13.77534247,2
577,1,15.78356164,2
581,0,14.66849315,2
582,0,14.25753425,2
584,0,21.98082192,1
586,1,9.78630137,3
587,1,23.86027397,1
588,0,19.09863014,1
591,1,11.60273973,3
592,0,25.10410959,1
593,1,23.2,1
595,1,12.97808219,3
596,1,14.85205479,2
597,0,21.6630137,1
598,0,23.50136986,1
601,1,9.775342466,3
602,1,12.58630137,3
604,1,14.35890411,2
605,1,12.44383562,3
608,1,12.11506849,3
609,1,15.53150685,2
615,1,14.35342466,2
617,1,13.19178082,2
622,0,14.90958904,2
626,1,22.23013699,1
627,1,19.62191781,1
629,0,20.11780822,1
631,0,10.45205479,3
634,0,14.21643836,2
635,0,10.83561644,3
636,1,9.704109589,3
637,0,12.79178082,3
638,1,11.16712329,3
641,0,10.94794521,3
642,1,18.61917808,1
643,0,24.90684932,1
644,1,24.05479452,1
645,0,11.06027397,3
646,1,21.51232877,1
647,0,13.82465753,2
648,1,8.150684932,3
649,0,21.94520548,1
650,0,10.61369863,3
651,0,16.11780822,2
653,0,15.52328767,2
654,1,10.70410959,3
655,1,11.76164384,3
656,0,16.22465753,2
