subID,goldencnum,silverencnum,goldretnum,silverretnum,goldencvoxnum,silverencvoxnum,goldretvoxnum,silverretvoxnum
sub-500,32,32,32,32,2266,2266,2266,2266
sub-501,32,32,32,32,2053,2053,2053,2053
sub-502,32,32,32,32,2589,2589,2589,2589
sub-503,32,32,32,32,2188,2188,2188,2188
sub-504,32,32,32,32,2226,2226,2226,2226
sub-508,32,32,32,32,2199,2199,2199,2199
sub-509,32,32,32,32,2417,2417,2417,2417
sub-511,32,32,32,32,2109,2109,2109,2109
sub-513,16,16,16,16,2682,2682,2682,2682
sub-515,32,32,32,32,2393,2393,2393,2393
sub-517,32,32,32,32,1942,1942,1942,1942
sub-518,32,32,32,32,1823,1823,1823,1823
sub-519,32,32,32,32,2591,2591,2591,2591
sub-521,32,32,32,32,2429,2429,2429,2429
sub-523,16,16,16,16,1869,1869,1869,1869
sub-524,32,32,32,32,2176,2176,2176,2176
sub-528,16,16,16,16,2284,2284,2284,2284
sub-530,32,32,32,32,2371,2371,2371,2371
sub-531,32,32,32,32,2659,2659,2659,2659
sub-532,32,32,32,32,2018,2018,2018,2018
sub-536,32,32,32,32,2422,2422,2422,2422
sub-537,32,32,32,32,2628,2628,2628,2628
sub-540,32,32,32,32,2403,2403,2403,2403
sub-541,16,16,16,16,2180,2180,2180,2180
sub-542,16,16,16,16,2598,2598,2598,2598
sub-545,32,32,32,32,2413,2413,2413,2413
sub-548,16,16,16,16,2526,2526,2526,2526
sub-549,16,16,16,16,2402,2402,2402,2402
sub-550,32,32,32,32,1846,1846,1846,1846
sub-552,32,32,32,32,2269,2269,2269,2269
sub-557,32,32,32,32,2030,2030,2030,2030
sub-558,32,32,32,32,2089,2089,2089,2089
sub-559,32,32,32,32,1955,1955,1955,1955
sub-560,32,32,32,32,2356,2356,2356,2356
sub-561,32,32,32,32,1716,1716,1716,1716
sub-562,32,32,32,32,2559,2559,2559,2559
sub-563,32,32,32,32,2362,2362,2362,2362
sub-566,32,32,32,32,2442,2442,2442,2442
sub-570,16,16,16,16,2322,2322,2322,2322
sub-573,16,16,16,16,2444,2444,2444,2444
sub-574,32,32,32,32,2201,2201,2201,2201
sub-576,32,32,32,32,1916,1916,1916,1916
sub-577,32,32,32,32,2066,2066,2066,2066
sub-581,16,16,16,16,2490,2490,2490,2490
sub-582,32,32,32,32,2342,2342,2342,2342
sub-584,32,32,32,32,2103,2103,2103,2103
sub-586,32,32,32,32,2224,2224,2224,2224
sub-587,32,32,32,32,2080,2080,2080,2080
sub-588,32,32,32,32,2203,2203,2203,2203
sub-591,32,32,32,32,2218,2218,2218,2218
sub-592,32,32,32,32,2353,2353,2353,2353
sub-593,32,32,32,32,2142,2142,2142,2142
sub-595,32,32,32,32,2021,2021,2021,2021
sub-596,32,32,32,32,1944,1944,1944,1944
sub-597,32,32,32,32,2515,2515,2515,2515
sub-598,32,32,32,32,2299,2299,2299,2299
sub-601,32,32,32,32,2127,2127,2127,2127
sub-602,32,32,32,32,2299,2299,2299,2299
sub-604,16,16,16,16,1813,1813,1813,1813
sub-605,32,32,32,32,2028,2028,2028,2028
sub-608,32,32,32,32,2135,2135,2135,2135
sub-609,32,32,32,32,2346,2346,2346,2346
sub-615,32,32,32,32,2062,2062,2062,2062
sub-617,32,32,32,32,1955,1955,1955,1955
sub-622,32,32,32,32,2134,2134,2134,2134
sub-626,32,32,32,32,2165,2165,2165,2165
sub-627,16,16,16,16,2316,2316,2316,2316
sub-629,32,32,32,32,2365,2365,2365,2365
sub-631,16,16,16,16,2030,2030,2030,2030
sub-634,16,16,16,16,2230,2230,2230,2230
sub-635,32,32,32,32,2187,2187,2187,2187
sub-636,32,32,32,32,2272,2272,2272,2272
sub-637,32,32,32,32,2077,2077,2077,2077
sub-638,32,32,32,32,2009,2009,2009,2009
sub-641,32,32,32,32,2241,2241,2241,2241
sub-642,32,32,32,32,1955,1955,1955,1955
sub-643,32,32,32,32,2195,2195,2195,2195
sub-644,32,32,32,32,1976,1976,1976,1976
sub-645,16,16,16,16,2408,2408,2408,2408
sub-646,32,32,32,32,2142,2142,2142,2142
sub-647,32,32,32,32,2002,2002,2002,2002
sub-648,32,32,32,32,2162,2162,2162,2162
sub-649,32,32,32,32,2303,2303,2303,2303
sub-650,32,32,32,32,1848,1848,1848,1848
sub-651,32,32,32,32,2242,2242,2242,2242
sub-653,32,32,32,32,1760,1760,1760,1760
sub-654,32,32,32,32,2400,2400,2400,2400
sub-655,16,16,16,16,1823,1823,1823,1823
sub-656,32,32,32,32,2231,2231,2231,2231
