subid,dlPFC,VTA
500,1.494985395,1.231402979
501,0.043782692,0.425057231
502,0.923350496,0.382129836
503,0.855940976,0.027490879
504,1.880823981,0.424340625
508,0.315829669,0.348324441
509,1.005620478,-0.318859582
511,-0.496473966,0.463894724
513,1.976953258,0.262742756
515,-0.082894305,0.011245947
517,0.859811672,0.429204997
518,-0.210318175,-0.092290983
519,0.620623549,-0.601034945
521,0.319006968,-0.210501356
523,-0.969778934,0.223590358
524,-1.298193951,-0.399925381
528,1.015686595,0.187526955
530,0.864502529,0.348544781
531,-0.036470268,-0.381959796
532,2.255522563,0.724085723
536,0.02685693,0.503497993
537,1.352191848,0.237452077
540,-0.628048992,-0.102585027
541,-0.207509159,0.097877224
542,0.096761232,-0.089116102
545,1.713875546,-0.030043158
548,-0.34469529,0.072703887
549,-0.181063913,-0.349392806
550,1.89624083,0.295264493
552,1.607749016,0.013374249
557,2.336111711,-0.226622737
558,0.423022681,0.496975102
559,1.243603365,1.082926142
560,-0.24628832,-0.189983084
561,0.907558298,0.124125256
562,0.38060934,-0.006262418
563,-0.315059165,0.570722378
566,-0.683732303,0.212939189
570,1.38686248,0.493232412
573,0.644412584,-0.206724413
574,1.122642215,0.08756162
576,1.474920805,0.101695778
577,0.527000492,-0.048791951
581,0.871817213,-0.217853015
582,3.793964028,-0.283365146
584,0.289689298,0.976443551
586,1.36679574,0.401770523
587,4.851042571,0.71224279
588,0.110187748,0.429576015
591,0.87821975,0.675756951
592,0.349601948,0.332159572
593,-0.263496305,-0.128478712
595,0.922831885,0.236615591
596,2.450954377,0.358081843
597,-0.847014261,-0.005120179
598,1.593356654,0.64719179
601,1.890465546,0.375187507
602,-1.9633089,-0.2796435
604,-0.176806311,0.336983334
605,-0.045226079,0.086276479
608,0.996283391,-0.126425434
609,0.436774401,0.021618672
615,1.221404167,0.400386375
617,-1.013081763,-0.153487483
622,0.182802867,-0.248587394
626,1.044183205,0.058565768
627,0.875277141,0.226880638
629,-0.039911558,0.01103004
631,0.305546545,0.39825709
634,-0.123310402,0.172013132
635,0.229669963,0.338239986
636,-0.846758589,-0.008668276
637,0.665333023,0.412337674
638,-0.639828075,0.070476823
641,0.019914033,-0.26897158
642,0.467635097,0.343732664
643,1.716870384,0.171351615
644,0.452778152,0.112468573
645,0.794158637,-0.225458465
646,0.457669259,-0.159502019
647,0.961710842,0.277678106
648,0.121441693,0.148010364
649,1.791847542,-0.366235148
650,-0.453535114,0.164417916
651,0.691663821,-0.554448578
653,0.545656948,-0.142486671
654,-0.11032529,-0.050735128
655,0.231006561,0.666123295
656,1.954294664,0.055962931
